scope	k_cell_types	protein_coding_genes	r_cell_types_per_experiment	f_context_group_fraction	n_context_groups	max_context_group_size	required_pairwise_comparisons	required_pair_fraction	experiment_lower_bound	local_binary_marker_lower_bound	binary_marker_lower_bound	gene_universe_to_marker_lb_ratio
C. elegans adult	146	20000	20	1.0	1	146	10585	1.0	56	5	8	2500.0
C. elegans adult	146	20000	20	0.25	4	37	2593	0.2449692961738309	16	5	6	3333.3333333333335
C. elegans adult	146	20000	20	0.1	10	15	1000	0.0944733112895607	10	4	4	5000.0
C. elegans adult	146	20000	20	0.05	19	8	505	0.047709022201228156	19	3	3	6666.666666666667
C. elegans adult	146	20000	50	1.0	1	146	10585	1.0	9	6	8	2500.0
C. elegans adult	146	20000	50	0.25	4	37	2593	0.2449692961738309	4	6	6	3333.3333333333335
C. elegans adult	146	20000	50	0.1	10	15	1000	0.0944733112895607	10	4	4	5000.0
C. elegans adult	146	20000	50	0.05	19	8	505	0.047709022201228156	19	3	3	6666.666666666667
C. elegans adult	146	20000	100	1.0	1	146	10585	1.0	3	7	8	2500.0
C. elegans adult	146	20000	100	0.25	4	37	2593	0.2449692961738309	4	6	6	3333.3333333333335
C. elegans adult	146	20000	100	0.1	10	15	1000	0.0944733112895607	10	4	4	5000.0
C. elegans adult	146	20000	100	0.05	19	8	505	0.047709022201228156	19	3	3	6666.666666666667
Drosophila adult	250	13900	20	1.0	1	250	31125	1.0	164	5	8	1737.5
Drosophila adult	250	13900	20	0.25	4	63	7689	0.24703614457831324	43	5	6	2316.6666666666665
Drosophila adult	250	13900	20	0.1	10	25	3000	0.0963855421686747	20	5	5	2780.0
Drosophila adult	250	13900	20	0.05	20	13	1485	0.047710843373493975	20	4	4	3475.0
Drosophila adult	250	13900	50	1.0	1	250	31125	1.0	26	6	8	1737.5
Drosophila adult	250	13900	50	0.25	4	63	7689	0.24703614457831324	8	6	6	2316.6666666666665
Drosophila adult	250	13900	50	0.1	10	25	3000	0.0963855421686747	10	5	5	2780.0
Drosophila adult	250	13900	50	0.05	20	13	1485	0.047710843373493975	20	4	4	3475.0
Drosophila adult	250	13900	100	1.0	1	250	31125	1.0	7	7	8	1737.5
Drosophila adult	250	13900	100	0.25	4	63	7689	0.24703614457831324	4	6	6	2316.6666666666665
Drosophila adult	250	13900	100	0.1	10	25	3000	0.0963855421686747	10	5	5	2780.0
Drosophila adult	250	13900	100	0.05	20	13	1485	0.047710843373493975	20	4	4	3475.0
Human major cell types	400	20000	20	1.0	1	400	79800	1.0	420	5	9	2222.222222222222
Human major cell types	400	20000	20	0.25	4	100	19800	0.24812030075187969	108	5	7	2857.1428571428573
Human major cell types	400	20000	20	0.1	10	40	7800	0.09774436090225563	50	5	6	3333.3333333333335
Human major cell types	400	20000	20	0.05	20	20	3800	0.047619047619047616	20	5	5	4000.0
Human major cell types	400	20000	50	1.0	1	400	79800	1.0	66	6	9	2222.222222222222
Human major cell types	400	20000	50	0.25	4	100	19800	0.24812030075187969	20	6	7	2857.1428571428573
Human major cell types	400	20000	50	0.1	10	40	7800	0.09774436090225563	10	6	6	3333.3333333333335
Human major cell types	400	20000	50	0.05	20	20	3800	0.047619047619047616	20	5	5	4000.0
Human major cell types	400	20000	100	1.0	1	400	79800	1.0	17	7	9	2222.222222222222
Human major cell types	400	20000	100	0.25	4	100	19800	0.24812030075187969	4	7	7	2857.1428571428573
Human major cell types	400	20000	100	0.1	10	40	7800	0.09774436090225563	10	6	6	3333.3333333333335
Human major cell types	400	20000	100	0.05	20	20	3800	0.047619047619047616	20	5	5	4000.0
Human fine cell types	3358	20000	20	1.0	1	3358	5636403	1.0	29666	5	12	1666.6666666666667
Human fine cell types	3358	20000	20	0.25	4	840	1407843	0.2497768523648859	7411	5	10	2000.0
Human fine cell types	3358	20000	20	0.1	10	336	562131	0.09973222283786308	2966	5	9	2222.222222222222
Human fine cell types	3358	20000	20	0.05	20	168	280227	0.04971734632885548	1479	5	8	2500.0
Human fine cell types	3358	20000	50	1.0	1	3358	5636403	1.0	4602	6	12	1666.6666666666667
Human fine cell types	3358	20000	50	0.25	4	840	1407843	0.2497768523648859	1151	6	10	2000.0
Human fine cell types	3358	20000	50	0.1	10	336	562131	0.09973222283786308	460	6	9	2222.222222222222
Human fine cell types	3358	20000	50	0.05	20	168	280227	0.04971734632885548	240	6	8	2500.0
Human fine cell types	3358	20000	100	1.0	1	3358	5636403	1.0	1139	7	12	1666.6666666666667
Human fine cell types	3358	20000	100	0.25	4	840	1407843	0.2497768523648859	287	7	10	2000.0
Human fine cell types	3358	20000	100	0.1	10	336	562131	0.09973222283786308	120	7	9	2222.222222222222
Human fine cell types	3358	20000	100	0.05	20	168	280227	0.04971734632885548	60	7	8	2500.0
Mouse brain major types	300	22000	20	1.0	1	300	44850	1.0	237	5	9	2444.4444444444443
Mouse brain major types	300	22000	20	0.25	4	75	11100	0.24749163879598662	60	5	7	3142.8571428571427
Mouse brain major types	300	22000	20	0.1	10	30	4350	0.09698996655518395	30	5	5	4400.0
Mouse brain major types	300	22000	20	0.05	20	15	2100	0.046822742474916385	20	4	4	5500.0
Mouse brain major types	300	22000	50	1.0	1	300	44850	1.0	37	6	9	2444.4444444444443
Mouse brain major types	300	22000	50	0.25	4	75	11100	0.24749163879598662	12	6	7	3142.8571428571427
Mouse brain major types	300	22000	50	0.1	10	30	4350	0.09698996655518395	10	5	5	4400.0
Mouse brain major types	300	22000	50	0.05	20	15	2100	0.046822742474916385	20	4	4	5500.0
Mouse brain major types	300	22000	100	1.0	1	300	44850	1.0	10	7	9	2444.4444444444443
Mouse brain major types	300	22000	100	0.25	4	75	11100	0.24749163879598662	4	7	7	3142.8571428571427
Mouse brain major types	300	22000	100	0.1	10	30	4350	0.09698996655518395	10	5	5	4400.0
Mouse brain major types	300	22000	100	0.05	20	15	2100	0.046822742474916385	20	4	4	5500.0
Mouse brain clusters	5322	22000	20	1.0	1	5322	14159181	1.0	74523	5	13	1692.3076923076924
Mouse brain clusters	5322	22000	20	0.25	4	1331	3537801	0.24985915498926103	18622	5	11	2000.0
Mouse brain clusters	5322	22000	20	0.1	10	533	1413552	0.09983289287706683	7447	5	10	2200.0
Mouse brain clusters	5322	22000	20	0.05	20	267	705585	0.04983233140391383	3716	5	9	2444.4444444444443
Mouse brain clusters	5322	22000	50	1.0	1	5322	14159181	1.0	11559	6	13	1692.3076923076924
Mouse brain clusters	5322	22000	50	0.25	4	1331	3537801	0.24985915498926103	2890	6	11	2000.0
Mouse brain clusters	5322	22000	50	0.1	10	533	1413552	0.09983289287706683	1157	6	10	2200.0
Mouse brain clusters	5322	22000	50	0.05	20	267	705585	0.04983233140391383	577	6	9	2444.4444444444443
Mouse brain clusters	5322	22000	100	1.0	1	5322	14159181	1.0	2861	7	13	1692.3076923076924
Mouse brain clusters	5322	22000	100	0.25	4	1331	3537801	0.24985915498926103	716	7	11	2000.0
Mouse brain clusters	5322	22000	100	0.1	10	533	1413552	0.09983289287706683	289	7	10	2200.0
Mouse brain clusters	5322	22000	100	0.05	20	267	705585	0.04983233140391383	159	7	9	2444.4444444444443
